K_cap,NMI_max,NMI_min,NMI_avg,NMI_med
60,0.375696984175,0.360307147175,0.363385114575,0.360307147175
300,0.366506730695,0.366506730695,0.366506730695,0.366506730695
300,0.366506730695,0.366506730695,0.366506730695,0.366506730695
300,0.366506730695,0.366506730695,0.366506730695,0.366506730695
300,0.366506730695,0.366506730695,0.366506730695,0.366506730695
270,0.362681220297,0.362681220297,0.362681220297,0.362681220297
270,0.362681220297,0.362681220297,0.362681220297,0.362681220297
270,0.362681220297,0.362681220297,0.362681220297,0.362681220297
70,0.360598877195,0.360598877195,0.360598877195,0.360598877195
70,0.360598877195,0.360598877195,0.360598877195,0.360598877195
70,0.360598877195,0.360598877195,0.360598877195,0.360598877195
70,0.360598877195,0.360598877195,0.360598877195,0.360598877195
250,0.360506327689,0.360506327689,0.360506327689,0.360506327689
250,0.360506327689,0.360506327689,0.360506327689,0.360506327689
250,0.360506327689,0.360506327689,0.360506327689,0.360506327689
250,0.360506327689,0.360506327689,0.360506327689,0.360506327689
240,0.359885542837,0.359885542837,0.359885542837,0.359885542837
240,0.359885542837,0.359885542837,0.359885542837,0.359885542837
240,0.359885542837,0.359885542837,0.359885542837,0.359885542837
150,0.359665202963,0.359200085888,0.359293109303,0.359200085888
150,0.359665202963,0.359052182352,0.359174786474,0.359052182352
150,0.359665202963,0.359665202963,0.359665202963,0.359665202963
150,0.359665202963,0.359052182352,0.359174786474,0.359052182352
220,0.359039279404,0.358536173268,0.358938658177,0.359039279404
220,0.359039279404,0.359039279404,0.359039279404,0.359039279404
220,0.359039279404,0.359039279404,0.359039279404,0.359039279404
160,0.357674561139,0.356995716598,0.357131485506,0.356995716598
160,0.357674561139,0.356995716598,0.357131485506,0.356995716598
140,0.357548532812,0.357394432237,0.357517712697,0.357548532812
135,0.357517397964,0.357459327532,0.357505783877,0.357517397964
135,0.357459327532,0.357459327532,0.357459327532,0.357459327532
135,0.357459327532,0.357459327532,0.357459327532,0.357459327532
180,0.357398094938,0.356536638408,0.356708929714,0.356536638408
140,0.357394432237,0.357394432237,0.357394432237,0.357394432237
140,0.357394432237,0.357394432237,0.357394432237,0.357394432237
180,0.357192187942,0.356975438489,0.357018788379,0.356975438489
160,0.356995716598,0.356995716598,0.356995716598,0.356995716598
180,0.356948721612,0.356563357599,0.356640430402,0.356563357599
130,0.355595391176,0.355595391176,0.355595391176,0.355595391176
130,0.355595391176,0.355595391176,0.355595391176,0.355595391176
130,0.355595391176,0.355595391176,0.355595391176,0.355595391176
200,0.354267244666,0.354267244666,0.354267244666,0.354267244666
200,0.354267244666,0.354267244666,0.354267244666,0.354267244666
200,0.354267244666,0.354267244666,0.354267244666,0.354267244666
200,0.354267244666,0.354267244666,0.354267244666,0.354267244666
125,0.352175332796,0.352175332796,0.352175332796,0.352175332796
125,0.352175332796,0.352175332796,0.352175332796,0.352175332796
125,0.352175332796,0.352161270537,0.352164082989,0.352161270537
50,0.343682831852,0.343682831852,0.343682831852,0.343682831852
350,0.337981957509,0.337930417819,0.337971649571,0.337981957509
350,0.337981957509,0.337981957509,0.337981957509,0.337981957509
350,0.337981957509,0.337981957509,0.337981957509,0.337981957509
120,0.337871057385,0.337671480736,0.337831142055,0.337871057385
120,0.337871057385,0.337671480736,0.337831142055,0.337871057385
120,0.337671480736,0.337671480736,0.337671480736,0.337671480736
105,0.337666686684,0.337666686684,0.337666686684,0.337666686684
105,0.337666686684,0.337666686684,0.337666686684,0.337666686684
105,0.337666686684,0.337666686684,0.337666686684,0.337666686684
90,0.337465316025,0.337298743728,0.337332058188,0.337298743728
90,0.337465316025,0.337465316025,0.337465316025,0.337465316025
90,0.337465316025,0.337465316025,0.337465316025,0.337465316025
90,0.337465316025,0.337298743728,0.337432001566,0.337465316025
100,0.336722420295,0.336722420295,0.336722420295,0.336722420295
100,0.336722420295,0.336722420295,0.336722420295,0.336722420295
100,0.336722420295,0.336722420295,0.336722420295,0.336722420295
100,0.336722420295,0.336722420295,0.336722420295,0.336722420295
80,0.336240740338,0.336240740338,0.336240740338,0.336240740338
400,0.335059931202,0.334318560481,0.334911657058,0.335059931202
400,0.335043090569,0.334318560481,0.334463466499,0.334318560481
400,0.335043090569,0.334318560481,0.334898184552,0.335043090569
400,0.334318560481,0.334318560481,0.334318560481,0.334318560481
110,0.334060379651,0.333586558951,0.333681323091,0.333586558951
110,0.333998703468,0.333998703468,0.333998703468,0.333998703468
110,0.333998703468,0.333998703468,0.333998703468,0.333998703468
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
500,0.332705512169,0.332705512169,0.332705512169,0.332705512169
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
600,0.331726035689,0.331726035689,0.331726035689,0.331726035689
550,0.331528602706,0.331528602706,0.331528602706,0.331528602706
550,0.331528602706,0.331528602706,0.331528602706,0.331528602706
550,0.331528602706,0.331528602706,0.331528602706,0.331528602706
800,0.331439170568,0.331412234415,0.331433783337,0.331439170568
450,0.331372328434,0.331003798735,0.331298622495,0.331372328434
115,0.331275031171,0.331275031171,0.331275031171,0.331275031171
115,0.331275031171,0.330877493226,0.330957000815,0.330877493226
450,0.331003798735,0.331003798735,0.331003798735,0.331003798735
115,0.330934285365,0.330877493226,0.330888851654,0.330877493226
700,0.329562506988,0.329353861782,0.329395590823,0.329353861782
40,0.314745387244,0.314745387244,0.314745387244,0.314745387244
30,0.314643798193,0.313028478275,0.313351542259,0.313028478275
